# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
ID_EDITGROUP_ATTACH_ELEM_TO_GROUP	Add to Group	그룹에 추가
ID_EDITGROUP_ATTACH_TO_GROUP	Attach Detail Group	상세 그룹 부착
ID_EDITGROUP_DETACH_ELEM_FROM_GROUP	Remove from Group	그룹에서 제거
ID_EDITGROUP_GROUP_EDIT	Edit Group	그룹 편집
ID_EDITGROUP_REMOVE_FROM_GROUP	Remove from Group	그룹에서 제거
ID_EDITGROUP_UNGROUP	Ungroup	그룹해제
ID_EDITSFILTER_ADD_TO_FILTER	Add to Selection	선택에 추가
ID_EDITSFILTER_REMOVE_FROM_FILTER	Remove from Selection	선택에서 제거
ID_EDIT_ADDTODESIGNOPTIONSET	Add to Set	세트에 추가
ID_EDIT_BEAM_JOINS	Beam/Column Joins	보/기둥 결합
ID_EDIT_BLEND_BASE	Edit Base	기준 편집
ID_EDIT_BLEND_TOP	Edit Top	상단 편집
ID_EDIT_COLORSCHEME	Edit Color Scheme	색상표 편집
ID_EDIT_CONTINUOUS_RAIL	Edit Rail	난간 편집
ID_EDIT_CONTINUOUS_RAIL_JOINS	Edit Rail Joins	난간 결합 편집
ID_EDIT_CONTINUOUS_RAIL_PATH	Edit Path	경로 편집
ID_EDIT_COPY	Copy to Clipboard	클립보드로 복사
ID_EDIT_CREATE_PATTERN	Array	배열
ID_EDIT_CREATE_SIMILAR	Create Similar	유사 작성
ID_EDIT_CURTA_SYSTEM	Edit Face Selection	면 선택 편집
ID_EDIT_CUT	Cut to Clipboard	클립보드로 잘라내기
ID_EDIT_CUT_BOUNDARY	Cut Profile	프로파일 잘라내기
ID_EDIT_DEMOLISH	Demolish	철거
ID_EDIT_DESIGNOPTIONS	Design Options	설계 옵션
ID_EDIT_DORMER_OPENING	Edit Dormer Opening	지붕창 개구부 편집
ID_EDIT_ELEVATION_SKETCH	Edit Profile; Edit Profile	프로파일 편집; 프로파일 편집
ID_EDIT_GROUP	Model Group:Create Group; Detail Group:Create Group	모델 그룹:그룹 작성; 상세 그룹:그룹 작성
ID_EDIT_INPLACE_FAMILY	Edit In-Place	내부편집
ID_EDIT_INSERT_REHOST	Pick New Host	새 호스트 선택
ID_EDIT_LINEWORK	Linework	라인워크
ID_EDIT_MATCH_TYPE	Match Type Properties	유형 일치 특성
ID_EDIT_MIRROR	Mirror - Pick Axis	대칭 - 축 선택
ID_EDIT_MIRROR_LINE	Mirror - Draw Axis	대칭 - 축 그리기
ID_EDIT_MOVE	Move	이동
ID_EDIT_MOVE_COPY	Copy	복사
ID_EDIT_PAINT	Paint	페인트
ID_EDIT_PASTE	Paste; Paste from Clipboard	붙여넣기; 클립보드에서 붙여넣기
ID_EDIT_PASTE_ALIGNED	Paste:Aligned to Current View	붙여넣기:현재 뷰에 정렬
ID_EDIT_PASTE_ALIGNED_LEVEL_BY_NAME	Paste:Aligned to Selected Levels	붙여넣기:선택한 레벨에 정렬
ID_EDIT_PASTE_ALIGNED_PICK_LEVEL	Paste:Aligned to Picked Level	붙여넣기:선택된 레벨에 정렬
ID_EDIT_PASTE_ALIGNED_SAME_PLACE	Paste:Aligned to Same Place	붙여넣기:동일 위치에 정렬
ID_EDIT_PASTE_ALIGNED_VIEWS_BY_NAME	Paste:Aligned to Selected Views	붙여넣기:선택한 뷰에 정렬
ID_EDIT_PICKS_OPTION	Pick to Edit	편집하기 위해 선택
ID_EDIT_RASTER_SYMBOLS	Manage Images	이미지 관리
ID_EDIT_REBAR_ELEMENT_SHAPE_FAMILY	Edit Family	패밀리 편집
ID_EDIT_REBAR_JOINS	Edit Constraints	구속조건 편집
ID_EDIT_REDO	Redo Text Edit	문자 편집 재실행
ID_EDIT_ROOF_SKETCH	Vertical Opening	수직 개구부
ID_EDIT_ROTATE	Rotate	회전
ID_EDIT_SCALE	Scale	축척
ID_EDIT_SELECTIONS	Edit Selection	선택 편집
ID_EDIT_SELECT_CANCEL	Cancel	취소
ID_EDIT_SELECT_FINISH	Finish	마감
ID_EDIT_SELECT_HIDE_ALL	Hide all rebars for the selection	선택한 모든 보강 철근 숨기기
ID_EDIT_SELECT_PREVIOUS	Select Previous	이전 선택
ID_EDIT_SELECT_SHOW_ALL	Show all rebars for the selection	선택한 모든 보강 철근 표시
ID_EDIT_SKETCH	Edit Sketch; Edit Extrusion; Edit Base; Edit Sketch; Edit Boundary; Edit Footprint; Edit Path; Edit Revolve; Edit Boundary; Edit Profile	스케치 편집; 돌출 편집; 베이스 편집; 스케치 편집; 경계 편집; 외곽설정 편집; 경로 편집; 회전 편집; 경계 편집; 프로파일 편집
ID_EDIT_SKETCHPLANE	Edit Work Plane	작업 기준면 편집
ID_EDIT_SKETCH_BENDPROFILE	Edit Sketch	스케치 편집
ID_EDIT_SKETCH_BLEND_TOP	Edit Top	상단 편집
ID_EDIT_SKETCH_CROP_AREA	Edit Crop	자르기 편집
ID_EDIT_SKETCH_REBAR	Edit Sketch	스케치 편집
ID_EDIT_SKETCH_SWEEP	Edit Sweep	스윕 편집
ID_EDIT_SKETCH_SWEEPPROFILE	Edit Profile; Edit Profile	프로파일 편집; 프로파일 편집
ID_EDIT_SKETCH_SWEPTBLEND	Edit Swept Blend	스윕 혼합 편집
ID_EDIT_SKETCH_SWEPTBLEND_VISIBILITY	Visibility Settings	가시성 설정
ID_EDIT_SKETCH_VISIBILITY	Visibility Settings	가시성 설정
ID_EDIT_SUBSTITUTION_TEXT	Edit Label	레이블 편집
ID_EDIT_TAG_EDITOR	Add / Remove Host	호스트 추가/제거
ID_EDIT_TAG_EDITOR_DURING_PLACEMENT	Add / Remove Host	호스트 추가/제거
ID_EDIT_TYPE	Type Properties	유형 특성
ID_EDIT_UNDO	Undo Text Edit	문자 편집 실행취소
ID_EDIT_UNPAINT	Paint:Remove Paint	페인트:페인트 제거
ID_EDIT_VERTEX_CONNECTIONS	Edit Vertices	정점 편집
ID_EDIT_VIEW_RANGE	View Range	뷰 범위
ID_EDIT_WALL_JOINS	Wall Joins	벽 결합
ID_EDIT_WP_REHOST	Pick New Work Plane	새 작업 기준면 선택
ID_ELEM_GROUP_EXCLUDED_MEMBER	Restore Excluded Member	제외된 부재 복원
ID_ENABLE_ANALYTICAL_ASSISTED_ASSOCIATION	Assisted Association	지원 연관
ID_ENABLE_CONSTRAINTS	Reset All	모두 재설정
ID_ENABLE_CURRENT_CONSTRAINT	Reset Current	현재 항목 재설정
ID_ENABLE_ENERGY_ANALYSIS	Create Energy Model	에너지 모델 작성
ID_ENABLE_RASTER_IMAGE_SNAPS	Enable Snaps	스냅 사용
ID_ENABLE_TEMPORARY_VIEW_PROPERTIES	Enable Temporary View Properties	임시 뷰 특성 사용
ID_END_INPLACE_FAMILY	Finish Model	모델 완료
ID_END_INPLACE_MASS	Finish Mass	매스 마감
ID_END_INPLACE_ZONE	Finish	마감
ID_ESSENTIALS_EDIT_TEXT	Edit Model Text	입체 문자 편집
ID_ESSENTIALS_LOAD_FAMILY	Load Profile	프로파일 로드
ID_ESSENTIALS_SKETCHVISIBILITY	Visibility Settings; Visibility Settings	가시성 설정; 가시성 설정
ID_ESSENTIALS_VISIBILITY	Visibility Settings	가시성 설정
ID_EXCLUDE_GROUP_MEMBERS	Exclude	제외
ID_EXCLUDE_PART	Exclude Parts	부품 제외
ID_EXIT_PICK_LEVELS_EDITOR	Edit Stairs	계단 편집
ID_EXPORT_DGN	DGN	DGN
ID_EXPORT_DWF	DWF/DWFx	DWF/DWFx
ID_EXPORT_DWG	DWG	DWG
ID_EXPORT_DXF	DXF	DXF
ID_EXPORT_FABRICATION_PCF	Create PCF; Export Fabrication PCF	PCF 작성; 제작 PCF 내보내기
ID_EXPORT_FAB_MAJ	Export Job File; MEP Fabrication Job	작업 파일 내보내기; MEP 제작 작업
ID_EXPORT_FAM_TYPES	Family Types; Export Types...	패밀리 유형; 유형 내보내기...
ID_EXPORT_FBX	FBX	FBX
ID_EXPORT_GBXML	gbXML	gbXML
ID_EXPORT_IFC	IFC	IFC
ID_EXPORT_OBJ	OBJ	OBJ
ID_EXPORT_PDF	PDF	PDF
ID_EXPORT_PDF_IN_PRINT	PDF	PDF
ID_EXPORT_SAT	ACIS (SAT)	ACIS(SAT)
ID_EXPORT_STEP	STEP	STEP
ID_EXPORT_STL	STL	STL
ID_EXTEND_WALLS_BASE	Attach:Attach Base	부착:베이스 부착
ID_EXTEND_WALLS_TOP	Attach:Attach Top	부착:상단 부착
ID_EXT_ENTITY_ANCHOR	Anchor	앵커
ID_EXT_ENTITY_ANCHOR_CIRCLE	Create Circular Anchor Pattern	원형 앵커 패턴 작성
ID_EXT_ENTITY_ANCHOR_RECT	Create Rectangular Anchor Pattern	직사각형 앵커 패턴 작성
ID_EXT_ENTITY_BOLT	Bolt	볼트
ID_EXT_ENTITY_BOLT_CIRCLE	Create Circular Bolt Pattern	원형 볼트 패턴 작성
ID_EXT_ENTITY_BOLT_RECT	Create Rectangular Bolt Pattern	직사각형 볼트 패턴 작성
ID_EXT_ENTITY_CONTOUR	Contour	등고선
ID_EXT_ENTITY_CONTOUR_ARC_CENTER_ENDS	Create Contour - Arc Center Ends	등고선 작성 - 호 중심 끝
ID_EXT_ENTITY_CONTOUR_ARC_FILLET	Create Contour - Fillet Arc	등고선 작성 - 모깎기 호
ID_EXT_ENTITY_CONTOUR_ARC_TAN	Create Contour - Arc Tangent	등고선 작성 - 호 접선
ID_EXT_ENTITY_CONTOUR_ARC_THREE_PNT	Create Contour - Arc from Three Points	등고선 작성 - 세 점의 호
ID_EXT_ENTITY_CONTOUR_CIRCLE	Create Contour - Circle	등고선 작성 - 원
ID_EXT_ENTITY_CONTOUR_LINE	Create Contour - Line	등고선 작성 - 선
ID_EXT_ENTITY_CONTOUR_POLY_CIRCUMSCRIBED	Create Contour - Circumscribed Polygon	등고선 작성 - 외접 다각형
ID_EXT_ENTITY_CONTOUR_POLY_INSCRIBED	Create Contour - Inscribed Polygon	등고선 작성 - 내접 다각형
ID_EXT_ENTITY_CONTOUR_RECT	Create Contour - Rectangle	등고선 작성 - 직사각형
ID_EXT_ENTITY_EDIT_SKETCH	Edit Boundary; Edit Pattern Boundary; Edit Boundary	경계 편집; 패턴 경계 편집; 경계 편집
ID_EXT_ENTITY_HOLE	Hole	구멍
ID_EXT_ENTITY_HOLE_CIRCLE	Create Circular Bolt Pattern	원형 볼트 패턴 작성
ID_EXT_ENTITY_HOLE_RECT	Create Rectangular Bolt Pattern	직사각형 볼트 패턴 작성
ID_EXT_ENTITY_PLATE	Steel Plate	스틸 판
ID_EXT_ENTITY_PLATE_ARC_CENTER_ENDS	Create Steel Plate - Arc Center Ends	스틸 판 작성 - 호 중심 끝
ID_EXT_ENTITY_PLATE_ARC_FILLET	Create Steel Plate - Fillet Arc	스틸 판 작성 - 모깎기 호
ID_EXT_ENTITY_PLATE_ARC_TAN	Create Steel Plate - Arc Tangent	스틸 판 작성 - 호 접선
ID_EXT_ENTITY_PLATE_ARC_THREE_PNT	Create Steel Plate - Arc from Three points	스틸 판 작성 - 세 점의 호
ID_EXT_ENTITY_PLATE_CIRCLE	Create Steel Plate - Circle	스틸 판 작성 - 원
ID_EXT_ENTITY_PLATE_LINE	Create Steel Plate - Line	스틸 판 작성 - 선
ID_EXT_ENTITY_PLATE_POLY_CIRCUMSCRIBED	Create Steel Plate - Circumscribed Polygon	스틸 판 작성 - 외접 다각형
ID_EXT_ENTITY_PLATE_POLY_INSCRIBED	Create Steel Plate - Inscribed Polygon	스틸 판 작성 - 내접 다각형
ID_EXT_ENTITY_PLATE_RECT	Create Steel Plate - Rectangle	스틸 판 작성 - 직사각형
ID_EXT_ENTITY_SHEAR_STUD	Create Shear Anchor	전단 앵커 작성
ID_EXT_ENTITY_SHEAR_STUD_CIRCLE	Create Circular Shear Anchor	원형 전단 앵커 작성
ID_EXT_ENTITY_SHEAR_STUD_RECT	Create Rectangular Shear Anchor	직사각형 전단 앵커 작성
ID_FABRICATION_ABOUT	About this addin	이 애드인 정보
ID_FABRICATION_ANCILLARY_EXPORT	Setup Ancillary Data Export	보조 데이터 내보내기 설정
ID_FABRICATION_ANCILLARY_REPORT	Setup Ancillary Reports	보조 항목 보고서 설정
ID_FABRICATION_HANGER_ATTACH	Attach To Structure	구조에 부착
ID_FABRICATION_ITEM_EXPORT	Setup Item Data Export	항목 데이터 내보내기 설정
ID_FABRICATION_ITEM_REPORT	Setup Item Reports	항목 보고서 설정
ID_FABRICATION_LINEAR_NEST_EXPORT	Setup Linear Nest Data Export	선형 내포 데이터 내보내기 설정
ID_FABRICATION_LINEAR_NEST_REPORT	Setup Linear Nest Reports	선형 내포 보고서 설정
ID_FABRICATION_NETWORK_CHANGE_SERVICE	Change Service	서비스 변경
ID_FABRICATION_NETWORK_CHANGE_SERVICE_CANCEL_EDITMODE	Cancel	취소
ID_FABRICATION_NETWORK_CHANGE_SERVICE_FINISH_EDITMODE	Finish	마감
ID_FABRICATION_NETWORK_CHANGE_SIZE	Change Size	크기 변경
ID_FABRICATION_NETWORK_CHANGE_SIZE_CANCEL_EDITMODE	Cancel	취소
ID_FABRICATION_NETWORK_CHANGE_SIZE_FINISH_EDITMODE	Finish	마감
ID_FABRICATION_OPTIMIZE_LENGTH	Optimize Lengths	길이 최적화
ID_FABRICATION_PART_CHANGE_SLOPE	Change Slope	경사 변경
ID_FABRICATION_PART_CONNECT_AS_TAP	Connect as Tap	탭으로 연결
ID_FABRICATION_PART_INSERT	Insert Part	부품 삽입
ID_FABRICATION_PART_MAINTAIN_SLOPE	Add Vertical	수직 추가
ID_FABRICATION_PART_POST_TOGGLE_CONNECTOR	Toggle Connector	커넥터 전환
ID_FABRICATION_PART_PRE_ROTATE	Rotate Part	부품 회전
ID_FABRICATION_PART_ROTATE_180DEGREES	Rotate 180°	180° 회전
ID_FABRICATION_PART_ROTATE_45DEGREES	Rotate 45°	45° 회전
ID_FABRICATION_PART_ROTATE_90DEGREES	Rotate 90°	90° 회전
ID_FABRICATION_PART_ROUTE_AND_FILL	Route and Fill	라우팅 및 채우기
ID_FABRICATION_PART_ROUTE_CANCEL_EDIT_MODE	Cancel	취소
ID_FABRICATION_PART_ROUTE_CUT_INTO	Cut Into	절단
ID_FABRICATION_PART_ROUTE_FINISH_EDIT_MODE	Finish	마감
ID_FABRICATION_PART_ROUTE_NEXT	Next Solution	다음 솔루션
ID_FABRICATION_PART_ROUTE_PREVIOUS	Previous Solution	이전 솔루션
ID_FABRICATION_PART_ROUTE_SMART_SNAPPING	Smart Snapping	스마트 스냅
ID_FABRICATION_PART_ROUTE_TOGGLE_FABPART_BROWSER	Fabrication Part	제작 부품
ID_FABRICATION_PART_SHOW_SERVICE_IN_PART_BROWSER	Show Service	서비스 표시
ID_FABRICATION_PART_SHOW_TOOLTIP	Show Help Tooltip	도움말 툴팁 표시
ID_FABRICATION_PART_SMART_SNAPPING	Smart Snapping	스마트 스냅
ID_FABRICATION_PART_START_MPR	Multi-Point Routing	다중점 라우팅
ID_FABRICATION_PART_TAKEOFF_DIALOG	Edit Part	부품 편집
ID_FABRICATION_PART_TOGGLE_CONNECTOR	Toggle Connector	커넥터 전환
ID_FABRICATION_PRINTER_SETUP	Printer Setup	프린터 설정
ID_FABRICATION_PRINT_REPORTS	Print Reports	보고서 인쇄
ID_FABRICATION_RUN_EXPORT_DATA	Export Fabrication Data	Export Fabrication Data(제작 데이터 내보내기)
ID_FABRICATION_USE_DEFAULT_PRINTER_SETUP	Use Default Printer Setup	기본 프린터 설정 사용
ID_FABRICATION_WORKSHEET	Setup Worksheets	워크시트 설정
ID_FABRIC_DISTR_SYSTEM_SKETCH	Structural Fabric Area	구조 용접 철망 영역
ID_FABRIC_DISTR_SYSTEM_SKETCH_HOST	Structural Fabric Area	구조 용접 철망 영역
ID_FABRIC_SHEET_SYMBOL_AUTO_PLACE	Auto Place	자동 배치
ID_FABRIC_SINGLE_PLACEMENT	Single Fabric Sheet Placement	단일 용접 철망 시트 배치
ID_FABRIC_SKETCH_BENDING	Sketch Bending Line on Work Plane	작업 기준면에서 구부림 선 스케치
ID_FABRIC_SYSTEM_PLACE_SPANSYMBOL	Fabric Reinforcement Symbol	선조립 철근 배근 기호
ID_FAMILY_LOAD	Load Family; Load Framing Family; Load Shapes	패밀리 로드; 프레임 패밀리 로드; 모양 로드
ID_FAMILY_LOAD_CLOUD	Load Autodesk Family	Autodesk 패밀리 로드
ID_FAMILY_NEW	Family	패밀리
ID_FAMILY_OPEN	Family	패밀리
ID_FAMILY_TYPE	Family Types	패밀리 유형
ID_FAMINST_ADDLEADER	Add Leader	지시선 추가
ID_FAMINST_RMVLEADER	Remove Leader	지시선 제거
ID_FILE_BACKUPS	Restore Backup	백업 복원
ID_FILE_CADFORMAT_LINK	Link CAD	CAD 링크
ID_FILE_EXPORT_ODBC	ODBC Database	ODBC 데이터베이스
ID_FILE_EXPORT_SCHEDULE	Schedule	일람표
ID_FILE_EXPORT_SOLAR_STUDY	Solar Study	일조 연구
ID_FILE_EXTERNAL_PARAMETERS	Shared Parameters	공유 매개변수
ID_FILE_IMPORT	Import CAD	CAD 가져오기
ID_FILE_NEW_CHOOSE_TEMPLATE	New; Project	새로 작성; 프로젝트
ID_FILE_NEW_WITH_TEMPLATE1	New File Default Template 1	새 파일 기본 템플릿 1
ID_FILE_NEW_WITH_TEMPLATE2	New File Default Template 2	새 파일 기본 템플릿 2
ID_FILE_NEW_WITH_TEMPLATE3	New File Default Template 3	새 파일 기본 템플릿 3
ID_FILE_NEW_WITH_TEMPLATE4	New File Default Template 4	새 파일 기본 템플릿 4
ID_FILE_NEW_WITH_TEMPLATE5	New File Default Template 5	새 파일 기본 템플릿 5
ID_FILE_OPEN_CLOUD_MODEL	Cloud Model	클라우드 모델
ID_FILE_PRINT_TO_IMAGE	Image	이미지
ID_FILE_SAVE_TO_CENTRAL	Synchronize with Central:Synchronize and Modify Settings	중앙 파일과 동기화:설정 동기화 및 수정
ID_FILE_SAVE_TO_CENTRAL_SHORTCUT	Synchronize with Central:Synchronize Now	중앙 파일과 동기화:지금 동기화
ID_FILTERS_SELECTION_SAVE	Save Selection	선택 저장
ID_FINALIZE_SELECTED_ELEMENTS	Finalize Selected	선택 요소 완료
ID_FIND_FIXTURES	Batch Copy	일괄 복사
ID_FIND_IN_PROJECT_BROWSER	Find in Project Browser	프로젝트 탐색기에서 찾기
ID_FIND_REPLACE	Find/ Replace	찾기/대치
ID_FIND_VIEW_GENERATOR	Find Referring views	참조 뷰 찾기
ID_FINISH_ASSEMBLY_EDIT	Finish	마감
ID_FINISH_ATTACHED_GROUP_EDIT_MODE	Finish	마감
ID_FINISH_CONNECTED_LEVELS_EDIT	Finish	마감
ID_FINISH_DPART_EDIT	Finish Edit Mode	편집 모드 완료
ID_FINISH_GROUP_EDIT_MODE	Finish	마감
ID_FINISH_LEVEL_LANDINGS_EDIT	Finish	마감
ID_FINISH_LIGHT_GROUP_EDIT	Finish	마감
ID_FINISH_MULTI_PICK_DBAR	Finish; Create System; Recreate System; Create Floor; Create Roof; Create Toposolid	마감; 시스템 작성; 시스템 재작성; 바닥 작성; 지붕 작성; 지형 솔리드 작성
ID_FINISH_PASTE	Finish	마감
ID_FINISH_PASTE_EDIT_MODE	Finish	마감
ID_FINISH_PICK_BOUNDARY	Finish Edit Mode	편집 모드 완료
ID_FINISH_PICK_PATH	Finish Edit Mode	편집 모드 완료
ID_FINISH_PROOF	Finish Edit Mode	편집 모드 완료
ID_FINISH_SFILTER_EDIT_MODE	Finish Selection	선택 완료
ID_FINISH_SKETCH	Finish Edit Mode	편집 모드 완료
ID_FINISH_SKETCH_PATH	Finish Edit Mode	편집 모드 완료
ID_FINISH_SKETCH_PROFILE	Finish Edit Mode	편집 모드 완료
ID_FINISH_SWEEP	Finish Edit Mode	편집 모드 완료
ID_FINISH_SWEPT_BLEND	Finish Edit Mode	편집 모드 완료
ID_FINISH_VIEW_POSITION_EDIT_MODE	Finish	마감
ID_FIRST_PERSON_NAV	Toggle Fly Mode On/Off	비행뷰 모드 켜기/끄기 전환
ID_FLIP_ANALYTICAL_MEMBER	Flip X Axis; Align X Axis	X축 반전; X축 정렬
ID_FLIP_REBAR_SET	Flip Rebar Set	보강 철근 세트 반전
ID_FLIP_STAIRS_DIRECTION	Flip	반전
ID_FLOOR_PICK_DISPAN_EDGE	Span Direction	스팬 방향
ID_FLOOR_PICK_FACES	Floor:Floor by Face	바닥:면으로 바닥 만들기
ID_FOLLOW_ROOM_REFERENCE	Move to Room Reference	룸 참조로 이동
ID_GENERATIVE_DESIGN_CREATE_STUDY	Create Study	연구 작성
ID_GENERATIVE_DESIGN_EXPLORE_OUTCOMES	Explore Outcomes	결과 탐색
ID_GEO_ACQUIRE_COORDINATES	Coordinates:Acquire Coordinates	좌표:좌표 획득
ID_GEO_MANAGE_LOCATIONS	Location	위치
ID_GEO_PUBLISH_COORDINATES	Coordinates:Publish Coordinates	좌표:좌표 게시
ID_GRAPHIC_DISPLAY_OPTIONS	Graphic Display Options	그래픽 화면표시 옵션
ID_GRAY_INACTIVE_WORKSET_GRAPHICS	Gray Inactive Worksets	비활성 작업 세트를 회색으로 표시
ID_GRID_ARC_CENTER_ENDS	Grid:Center-Ends Arc	그리드:중간-끝 호
ID_GRID_ARC_THREE_PNT	Grid:Start-End-Radius Arc	그리드:시작-끝-반지름 호
ID_GRID_LINE	Grid:Line	그리드:선
ID_GRID_PICK_LINES	Grid:Pick Lines	그리드:선 선택
ID_HELP_AUTODESK_BUILDING_SOLUTIONS	Autodesk Building Solutions	Autodesk Building Solutions
ID_HELP_DESKTOP_ANALYTICS	Privacy Settings...	개인정보 처리방침 설정...
ID_HELP_ESSENTIAL_VIDEOS	Essential Skills Videos	필수 기술 비디오
ID_HELP_FINDER	Help F1	도움말 F1
ID_HELP_NEWS	What's New?	새로운 기능
ID_HELP_PRODUCTURL	Autodesk.com/revit	Autodesk.com/revit
ID_HELP_SUPPORT_KNOWLEDGE_BASE	Support Knowledge Base	지원 기술 자료 문서
ID_HELP_THIRDPARTYLEARNINGCONTENT	3rd Party Learning Content	타사 학습 컨텐츠
ID_HELP_VIDEOS	Revit Community	Revit 커뮤니티
ID_HIDE_ALL_TAG_LEADERS	Hide All Leaders	모든 지시선 숨기기
ID_HIDE_COLUMNS	Hide Columns	열 숨기기
ID_HIDE_ELEMENTS_EDITOR	Show Hidden Lines by Element	요소별 은선 표시
ID_HOST_REMOVE_ELEVATION_SKETCH	Reset Profile; Reset Profile	프로파일 재설정; 프로파일 재설정
ID_IDS_OF_SELECTION	IDs of Selection	선택 ID
ID_IFC_IMPORT_OPTIONS	IFC Options	IFC 옵션
ID_IFC_LINK	Link IFC	IFC 링크
ID_IMAGE_FLAT_COLORS	Consistent Colors	일관된 색상
ID_IMAGE_HIDDENLINE	Hidden Line	은선
ID_IMAGE_REALISTIC	Realistic	사실적
ID_IMAGE_SHADING	Shaded	음영 처리
ID_IMAGE_SHADING_WITH_EDGES	Shaded with Edges	모서리로 음영처리됨
ID_IMAGE_SHADOW_OFF	Shadows Off	그림자 끄기
ID_IMAGE_SHADOW_ON	Shadows On	그림자 켜기
ID_IMAGE_WIREFRAME	WireFrame	와이어프레임
ID_IMPORT_FAB_MAJ	Import MEP Fabrication Job	MEP 제작 작업 가져오기
ID_IMPORT_FAM_TYPES	Import Family Types; Import Types...	패밀리 유형 가져오기; 유형 가져오기...
ID_IMPORT_IFC	IFC	IFC
ID_INPLACE_COMPONENT	Component:Model In-Place	구성요소:내부편집 모델링
ID_INPLACE_MASS	In-Place Mass	내부 매스
ID_INSERT_2D_ELEMENTS_FROM_FILE	Insert from File:Insert 2D Elements from File	파일에서 삽입:파일에서 2D 요소 삽입
ID_INSERT_ROW	Insert Data Row	데이터 행 삽입
ID_INSERT_VIEWS_FROM_FILE	Insert from File:Insert Views from File	파일에서 삽입:파일에서 뷰 삽입
ID_INTERFERENCE_CHECK	Interference Check:Run Interference Check	간섭 확인:간섭 확인 실행
ID_INTERFERENCE_REPORT	Interference Check:Show Last Report	간섭 확인:마지막 보고서 표시
ID_JOIN_ELEMENTS_EDITOR	Join; Join Geometry	결합; 형상 결합
ID_JOIN_ROOF	Join/Unjoin Roof	지붕 결합/결합 해제
ID_JUSTIFY_BOTTOM_CENTER	Alignment Bottom Center	정렬 하단 중심
ID_JUSTIFY_BOTTOM_LEFT	Alignment Bottom Left	정렬 왼쪽 하단
ID_JUSTIFY_BOTTOM_RIGHT	Alignment Bottom Right	정렬 오른쪽 하단
ID_JUSTIFY_MIDDLE_CENTER	Alignment Middle Center	정렬 중간 중심
ID_JUSTIFY_MIDDLE_LEFT	Alignment Middle Left	정렬 왼쪽 중간
ID_JUSTIFY_MIDDLE_RIGHT	Alignment Middle Right	정렬 오른쪽 중간
ID_JUSTIFY_TOP_CENTER	Alignment Top Center	정렬 상단 중심
ID_JUSTIFY_TOP_LEFT	Alignment Top Left	정렬 왼쪽 상단
ID_JUSTIFY_TOP_RIGHT	Alignment Top Right	정렬 오른쪽 상단
ID_KEYBOARD_SHORTCUT_DIALOG	Keyboard Shortcuts	키보드 단축키
ID_KEYNOTE_ELEMENT	Element Keynote	요소 키노트
ID_KEYNOTE_MATERIAL	Material Keynote	재료 키노트
ID_KEYNOTE_USER	User Keynote	사용자 키노트
ID_LAUNCH_FORMIT	3D Sketch	3D 스케치
ID_LAYERSEDITMODE_FINISH	Finish	마감
ID_LAYERSEDITMODE_QUIT	Cancel	취소
ID_LEADER_BOTTOM_LEFT	Leader at Bottom Left	왼쪽 하단의 지시선
ID_LEADER_BOTTOM_RIGHT	Leader at Bottom Right	오른쪽 하단의 지시선
ID_LEADER_MIDDLE_LEFT	Leader at Middle Left	왼쪽 중간의 지시선
ID_LEADER_MIDDLE_RIGHT	Leader at Middle Right	오른쪽 중간의 지시선
ID_LEADER_TOP_LEFT	Leader at Top Left	왼쪽 상단의 지시선
ID_LEADER_TOP_RIGHT	Leader at Top Right	오른쪽 상단의 지시선
ID_LIGHTSOURCE_DEFINITION	Light Source Definition	광원 정의
ID_LINKED_DWG	Manage Links; Manage Links	링크 관리; 링크 관리
ID_LINK_IMAGE	Link Image	이미지 링크
ID_LINK_PDF	Link PDF	PDF 링크
ID_LOAD_BC_REHOST	Pick New Host	새 호스트 선택
ID_LOAD_GROUP	Load as Group	그룹으로 로드
ID_LOAD_INTO_PROJECTS	Load into Project; Model Group:Load as Group into Open Projects	프로젝트에 로드; 모델 그룹:열린 프로젝트에 그룹으로 로드
ID_LOAD_INTO_PROJECTS_CLOSE	Load into Project and Close	프로젝트에 로드 및 닫기
ID_LOAD_INTO_PROJECTS_CLOSE_REBAR_SHAPE	Load into Project and Close	프로젝트에 로드 및 닫기
ID_LOAD_INTO_PROJECTS_REBAR_SHAPE	Load into Project	프로젝트에 로드
ID_LOCKUNLOCK3DVIEW_LOCKANDRESTORE	Restore Orientation and Lock 3D View	방향 복원 및 3D 뷰 잠금
ID_LOCKUNLOCK3DVIEW_LOCKANDSAVE	Save Orientation and Lock 3D View	방향 저장 및 3D 뷰 잠금
ID_LOCKUNLOCK3DVIEW_UNLOCK	Unlock 3D View	3D 뷰 잠금 해제
ID_LOCK_ELEMENTS	Pin	핀
ID_MAJOR_SEGMENT	Major Segment	주근 세그먼트
ID_MAKE_ADAPTIVE	Make Adaptive	가변화
